Fomrat: <root> - <type>    <root> - <type>    frequency 
7-M7   8-m7   1
7-M7   6-M7   2
7-M7   4-m7   2
8-m7   1-7   5
8-m7   7-m7   2
8-m7   6-m7   2
6-M7   2-m7   1
6-M7   6-7   1
6-M7   7-M7   3
6-M7   7-m7   1
6-M7   11-m7   1
6-M7   6-m7   1
7-m7   0-m   1
7-m7   0-7   34
7-m7   8-M7   1
7-m7   0-m7   1
7-m7   6-7   1
7-m7   8-m7   1
7-m7   6-o7   1
7-m7   6-b5,7   1
7-m7   0-aug7   4
5-M7   5-m7   7
5-M7   7-7   3
5-M7   10-7   12
5-M7   2-%7   3
5-M7   2-7   2
5-M7   10-m7   1
5-M7   2-m7   3
5-M7   0   1
5-M7   9-7   1
5-M7   5-M7   1
5-M7   4-m7   3
5-M7   6-%7   1
5-M7   11-%7   3
5-M7   11-7   1
5-M7   6-m7   1
5-M7   4-aug7   7
5-M7   6-o7   2
5-M7   4-m   1
5-M7   10   1
10-sus4,7   7-7   1
10-sus4,7   3   1
3   8-M7   1
3   0-M7   1
3   8-7   2
4-m7   5-m7   3
4-m7   9-%7   2
4-m7   3-7   5
4-m7   2-m7   3
4-m7   9-m7   22
4-m7   9-7   40
4-m7   5-M7   3
4-m7   3-o7   11
4-m7   4-m   1
4-m7   9-aug7   1
4-m7   3-m7   1
3-o7   2-m7   21
3-o7   0   3
3-o7   4-7   3
3-o7   4-m7   6
3-o7   11-m7   1
11-m7   4-7   11
11-m7   4-m7   3
11-m7   0-o7   1
2-sus4,7   2-m7   1
2-sus4,7   4-%7   2
2-sus4,7   11-m7   1
6-%7   5-m7   1
6-%7   5-7   5
6-%7   11-7   4
6-%7   2-m   1
11-%7   4-7   18
11-%7   4-aug7   2
11-7   10-7   6
11-7   5-7   1
11-7   4-7   2
11-7   7-M7   1
11-7   4-m7   3
11-7   4-M7   8
11-7   4-m   1
5   7-7   2
5   0-7   1
5   10-7   5
5   0   3
5   4-7   1
5   5-M7   1
5   6-%7   1
5   5   1
5   6-o7   10
5   0-o7   3
6-m7   0-7   1
6-m7   4-m7   1
6-m7   11-7   8
6-m7   11   1
4-aug7   3-7   3
4-aug7   9-m7   10
4-aug7   4-7   1
4-aug7   9-7   3
4-aug7   5-M7   1
